INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('IZHK5F', 17, 'give', 'Season drop appear lose system finish.', 1679.0);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('L5IH2Q', 50, 'stand', 'Add since big about professor air defense.', 1130.9);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('31QNZ1', 29, 'today', 'Message nature be three others.', 856.05);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('8EEVXN', 21, 'admit', 'Herself must style imagine.', 1949.71);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('E7QXXM', 84, 'there', 'Leg require even.', 1305.11);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('RPS4YZ', 82, 'establish', 'Traditional rock dinner down college what store.', 1207.96);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('OBA9M0', 32, 'happy', 'Theory operation next special.', 1635.41);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('H6VO5M', 70, 'know', 'Mind exactly general democratic bad carry turn laugh.', 1484.91);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('H1MELG', 55, 'word', 'Friend discuss yes firm size heavy per alone.', 545.87);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('I92BPW', 27, 'different', 'Major side else sort mind free.', 1715.43);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('1PZPKH', 39, 'forward', 'Structure art improve we various decade soon according.', 1490.04);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('DWI2GK', 44, 'skin', 'Chance president almost available.', 151.83);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('QBYFLD', 29, 'decide', 'Already fall behind PM hand deal current.', 1419.35);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('E3LGMA', 50, 'notice', 'Serve little month number several control important.', 1809.29);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('K9ROCY', 37, 'change', 'Range religious course weight six political discuss.', 873.01);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('KD41I2', 54, 'poor', 'Shoulder receive race across share.', 1629.05);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('1QX8YB', 60, 'for', 'Professor marriage win six green service.', 369.79);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('7BFTY6', 81, 'near', 'Population goal behavior detail.', 855.06);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('71EDHK', 44, 'argue', 'Dark tonight toward memory window movement party.', 576.86);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('4588EG', 38, 'while', 'Easy long wife cut increase enjoy much.', 361.3);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('B2LXJA', 71, 'none', 'Ten she player citizen mouth.', 1469.96);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('LPY01G', 22, 'before', 'Course property ever.', 229.64);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('G034UT', 54, 'fund', 'Indicate probably it build old boy reason above.', 805.25);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('K2OWXY', 79, 'energy', 'Which probably government PM staff.', 1591.59);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('6V1FU5', 5, 'trouble', 'Everyone gun item single.', 1885.13);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('NR7IYG', 94, 'imagine', 'Letter firm sit know always our officer manager.', 256.78);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('85PSVQ', 69, 'little', 'Hold treatment suffer allow six girl end.', 484.16);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('QC0GJ7', 53, 'make', 'Score her especially window lot water benefit.', 599.4);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('A7AQY1', 62, 'because', 'Return day both see.', 989.89);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('K5LS8I', 80, 'ok', 'Just public government care purpose miss.', 324.3);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('08RA1B', 2, 'here', 'Paper draw method career audience voice believe.', 1429.23);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('8VWR9J', 52, 'cell', 'Picture PM administration success tell door.', 180.91);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('D8EC67', 48, 'develop', 'Art pass quickly thousand state develop military final.', 1589.75);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('RQ1MTD', 94, 'order', 'Hair you cultural news manage service he.', 1675.12);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('5YXS4T', 9, 'oil', 'Term guy rich Mr.', 1194.77);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('PU13CA', 91, 'response', 'Support bill prepare region entire.', 1694.99);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('ZG3K9A', 90, 'low', 'Arm maintain hold stock blue bag.', 826.42);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('S1M6RD', 63, 'poor', 'Treat send account my car.', 194.5);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('YLBUV9', 9, 'prove', 'Difference voice born near type enjoy try air.', 1861.79);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('D3I5X6', 77, 'grow', 'Response off opportunity value remain.', 1515.41);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('0JHPAS', 3, 'cup', 'Perform suffer where task piece until authority.', 271.87);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('R6L9EP', 59, 'none', 'Avoid store two result need game quickly institution.', 437.13);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('MVJIX9', 6, 'money', 'Quality government for yard note three.', 1472.55);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('APU767', 92, 'laugh', 'Test near court hold.', 1532.4);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('D7F26K', 76, 'people', 'Increase to condition whether simple whom hour some.', 603.88);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('9BDUNU', 95, 'however', 'Television fire every at newspaper right way.', 690.93);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('R3PU0R', 62, 'my', 'Responsibility actually reality keep executive follow partner.', 1560.47);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('M1FOSA', 23, 'say', 'Still cut detail others pay budget before impact.', 1703.83);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('SO2QA7', 23, 'make', 'Responsibility such order high what work yard feel.', 268.81);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('21BZ8R', 65, 'material', 'Simple certainly consider none.', 1522.3);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('MYHX4C', 40, 'just', 'Over friend than black.', 1339.03);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('PBVO7M', 55, 'town', 'Society low political choose remember debate herself.', 1930.56);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('YINZG0', 81, 'election', 'Try street school watch.', 204.53);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('VPZP1O', 40, 'in', 'Never list audience site run order.', 1877.05);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('RRJ43E', 61, 'much', 'Minute hard green food ready statement last.', 218.06);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('1QGEEW', 1, 'more', 'Report position lead.', 1662.91);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('PU316Y', 72, 'garden', 'Value task star information himself.', 752.98);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('ORGDJQ', 57, 'agency', 'Role third executive back serious practice write continue.', 928.05);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('P1OF90', 18, 'skill', 'Bill itself beautiful sell.', 1716.49);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('2TIJRG', 39, 'exactly', 'Less safe per section.', 1112.5);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('O9YPXE', 81, 'forward', 'Traditional matter receive including.', 1756.73);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('RYKE63', 85, 'middle', 'Fall exist fast range.', 1492.52);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('26XIA6', 13, 'manage', 'Community meet myself for station bed fast enjoy.', 1489.27);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('IVW5KH', 14, 'attack', 'Every statement stop defense less.', 817.09);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('ZEJ87K', 91, 'rule', 'Technology somebody network much reflect painting son.', 831.68);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('DA35BQ', 39, 'base', 'Feel structure system community.', 1721.16);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('F5F2KP', 72, 'record', 'Firm range population direction vote.', 725.26);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('Y2MB2V', 55, 'somebody', 'Less should his industry rise.', 1844.26);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('JBL8VH', 63, 'report', 'Present task food build key result.', 1731.5);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('HNEQ2V', 3, 'raise', 'Art with according piece to enough.', 586.05);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('9RM1UJ', 27, 'west', 'Anything memory animal tend matter voice.', 831.87);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('2Q3WDW', 42, 'something', 'Level level concern.', 1969.74);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('EVPNYD', 32, 'involve', 'Successful right ask concern discussion fill several international.', 1315.84);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('X605MF', 82, 'again', 'Specific great card rock rather.', 577.13);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('C28PCP', 76, 'since', 'Consumer small rich give get.', 1852.21);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('1CBM6O', 19, 'lawyer', 'Speak hospital present station line.', 1486.2);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('87850T', 36, 'position', 'Sport form risk herself.', 1740.76);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('5U4XT6', 15, 'peace', 'Trouble describe drive now our onto subject.', 350.44);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('AR322M', 29, 'garden', 'Hour student must American tell bring.', 561.06);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('U34XF1', 28, 'today', 'Cultural so book give expert.', 542.82);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('W4ITVM', 42, 'article', 'Necessary performance tend person cause job quality.', 1601.82);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('DM6Q72', 60, 'election', 'Goal difficult campaign wife dream.', 1477.92);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('AI64LR', 45, 'there', 'Development morning else with.', 1741.87);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('O16XCS', 11, 'bank', 'Worry use world around such response.', 1979.37);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('L3UXJW', 45, 'son', 'Ten speak stand read.', 263.46);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('XN2A0F', 21, 'gas', 'Building collection about shoulder successful read all.', 1722.93);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('OFNU36', 16, 'way', 'May exactly southern long have.', 1210.76);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('B5ETRI', 88, 'personal', 'Between best describe security dinner sing.', 1612.36);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('HRZ1PV', 59, 'though', 'Stay series edge statement voice change.', 591.64);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('4FO80E', 33, 'understand', 'By model quite property skin.', 984.26);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('NM3S9S', 7, 'collection', 'Term offer play industry under.', 1102.48);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('C9PHBC', 45, 'business', 'Space onto head price.', 355.04);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('VR8XXS', 67, 'song', 'Information position fall.', 571.31);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('Y2AVC9', 21, 'dog', 'Student college feel usually budget.', 1608.98);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('PM5PZZ', 76, 'old', 'Pretty five budget because walk country.', 798.51);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('RFU67M', 83, 'his', 'System among general central green conference represent.', 96.96);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('LSGR8T', 23, 'cover', 'Finally president future get.', 738.87);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('QQAKNC', 33, 'beautiful', 'Single according specific travel.', 162.46);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('CN3FUP', 38, 'piece', 'Very nothing head picture add.', 1542.85);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('07MMH9', 86, 'across', 'Note experience best serious finally across campaign.', 1095.8);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('RZLTK2', 54, 'television', 'Son term act change realize answer beautiful any.', 218.69);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('PDJ276', 39, 'manage', 'Cause occur relate heart dinner at conference.', 1821.1);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('H84LJY', 93, 'indeed', 'For run newspaper hand allow she miss.', 410.01);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('ZLI61X', 57, 'level', 'Beat into the occur Mrs.', 1870.1);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('VQJLG4', 2, 'state', 'Finish every although son.', 656.03);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('CA1M4H', 88, 'Democrat', 'Phone million girl year.', 81.94);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('3NDCG3', 22, 'truth', 'Quickly away truth last respond lawyer mention.', 1794.58);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('HQ2A7P', 75, 'game', 'Too draw nice else administration report everybody.', 1839.08);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('7PLUQC', 21, 'off', 'Night low policy other five take.', 416.75);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('CEA2O8', 13, 'religious', 'Position manager debate young ok sometimes.', 1073.23);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('1EKQJA', 73, 'partner', 'Environmental let official economy analysis.', 305.53);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('KRETY1', 25, 'low', 'Seem might avoid and gas expect community statement.', 1678.2);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('ZTP5NH', 18, 'loss', 'Consumer sure capital unit debate federal time consumer.', 885.15);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('SZAG0H', 14, 'sea', 'Senior the official.', 499.86);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('20KBFE', 55, 'a', 'Heavy memory expect.', 208.32);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('JBLSN0', 64, 'be', 'Read before evidence table especially choice.', 1773.05);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('FOOOUL', 52, 'prevent', 'Effort determine news choose appear field.', 319.69);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('CE6KAZ', 32, 'nearly', 'His job bad whole look.', 566.41);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('HGFH4L', 17, 'save', 'Crime poor none above.', 1018.01);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('WQ8JWF', 29, 'machine', 'Politics weight interest capital treatment reflect former.', 1511.35);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('J7I80Y', 70, 'unit', 'Response language tax it lawyer reality about.', 176.96);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('AVPDFZ', 90, 'theory', 'Without religious black so.', 1390.97);
