INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('0GBEHM', 23, 'among', 'Reason image her level long new.', 1747.51);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('Z8M89S', 1, 'late', 'Stage ahead statement when eat.', 679.06);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('ZAPR79', 52, 'simple', 'Center ten rich station other discuss painting.', 497.3);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('WLSQZ5', 14, 'behind', 'Despite treat maybe expert perform usually her.', 683.74);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('6QV78P', 17, 'south', 'Hour sort tonight machine.', 1743.86);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('GWTTK9', 27, 'program', 'Team future see operation understand.', 631.08);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('XRDU6R', 4, 'pull', 'Media sing under help city cover.', 1762.8);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('BL00CM', 5, 'treatment', 'Win prove could guess use.', 175.52);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('BBZD78', 3, 'history', 'Democratic few whose student image.', 274.79);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('CM3Z9F', 51, 'stuff', 'Where exactly difficult hospital.', 825.4);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('UK4BK0', 48, 'discover', 'Forward draw forget out country.', 1243.21);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('L4SZI9', 5, 'couple', 'Building modern quickly though argue develop.', 1399.4);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('2J0561', 36, 'from', 'Itself subject serve thousand late spring international.', 1732.85);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('OIA9EY', 43, 'figure', 'Since act close heart.', 1411.58);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('3KP0P0', 27, 'tonight', 'Always organization rise return.', 420.41);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('YU95KB', 37, 'step', 'All particularly so past.', 1056.66);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('YAGT31', 52, 'onto', 'Ask moment responsibility special.', 1941.75);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('SI9B7Q', 47, 'fish', 'Great or this so once school.', 463.94);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('SGT3BF', 32, 'a', 'Case paper always store capital be I best.', 1808.95);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('D74Q6U', 36, 'challenge', 'Resource wall message indeed coach.', 881.93);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('2IFVS8', 11, 'apply', 'Stop expert forward fast official store before thing.', 1807.18);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('TBACEE', 28, 'animal', 'Serious these participant state music rock say.', 997.5);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('0PQC26', 37, 'all', 'Only defense threat smile.', 1587.24);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('NIQE2V', 30, 'film', 'Heart hand hour thus relationship wear feeling.', 365.5);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('8TX6UN', 51, 'cover', 'Popular later over brother knowledge Congress.', 855.96);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('MZ5WOH', 22, 'once', 'Total behind hundred determine opportunity.', 513.26);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('NFMGVH', 45, 'per', 'No check within order for still budget.', 766.34);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('TUEGB4', 47, 'finish', 'Eye serve either only bar.', 1988.92);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('MMD1OF', 23, 'approach', 'Glass eight college word.', 1855.37);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('8FTNPB', 11, 'like', 'Common where federal less he government.', 354.96);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('8ZCFEA', 28, 'future', 'Pay human quite management.', 745.4);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('76UKKP', 18, 'budget', 'Happy hold drug skin support.', 101.84);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('VWENLT', 38, 'political', 'Boy choose gas call unit.', 742.21);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('E6ATHL', 24, 'reveal', 'Several would letter grow.', 1448.22);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('LPP7NP', 18, 'crime', 'Yeah rise heart.', 195.09);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('5T1TNR', 4, 'want', 'Station hundred especially church long.', 1810.75);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('AFLY3D', 8, 'account', 'With plan create look sound glass.', 305.75);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('DJV28P', 24, 'suddenly', 'Economic best realize support fund.', 1530.07);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('FW1X8W', 51, 'son', 'Discuss more smile why everyone say argue off.', 1031.51);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('NIH0GS', 41, 'ten', 'Finish its himself soon particular military focus.', 611.58);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('IC99YJ', 4, 'personal', 'Some deal start wind none rich feel our.', 1454.08);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('2DQ0BP', 39, 'produce', 'International pass sign professional admit easy.', 934.51);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('DPQDEF', 49, 'base', 'Congress fall professional first stock particularly.', 66.99);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('4VD2G6', 45, 'ok', 'Security subject finally if.', 401.76);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('HYEYFU', 13, 'local', 'Arrive quality watch should gun.', 1842.89);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('V6Y2W7', 29, 'network', 'Foot price run relationship water some adult someone.', 383.66);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('N2DIBD', 50, 'way', 'Something worry law many page have.', 931.52);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('9KL7JC', 48, 'start', 'Foreign inside process.', 436.59);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('T1T46C', 16, 'need', 'Person art member trouble present.', 265.13);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('QCVVPV', 54, 'night', 'Budget same charge suddenly customer.', 1724.91);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('M0J1RV', 3, 'question', 'Statement specific hour right land former part eye.', 1134.63);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('51DD3H', 40, 'benefit', 'General always should budget.', 149.18);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('JF8B5V', 42, 'according', 'Work about laugh official behind gas evidence.', 974.61);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('KSN6VI', 26, 'evidence', 'Scientist sit free month allow fight.', 654.59);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('36PIKX', 18, 'born', 'Off thing challenge.', 1432.22);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('BP4FUF', 28, 'behavior', 'Certain capital determine response.', 569.56);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('S2JSJ4', 41, 'her', 'Its standard strategy hospital perhaps education music.', 893.78);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('RJRDWR', 17, 'look', 'Food system push sometimes unit.', 1540.48);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('IUYLDN', 34, 'test', 'Game other compare begin alone firm.', 1157.29);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('GUUCQ1', 51, 'likely', 'Town person author.', 745.64);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('U9K3PB', 52, 'building', 'Organization college stock consider parent may.', 1027.17);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('E69RMA', 2, 'coach', 'Picture successful avoid.', 134.75);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('S8PM2I', 31, 'skin', 'Prevent consumer employee change.', 241.75);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('D6ERYF', 20, 'idea', 'Guess camera commercial high across economic alone.', 874.65);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('CQ32T4', 43, 'example', 'But process business right model.', 1353.41);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('NMJ6RZ', 6, 'international', 'Require bag from way phone.', 1708.21);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('RQV7A7', 48, 'a', 'To from when certain already side.', 1935.37);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('4WU52N', 50, 'century', 'The also conference blood matter car.', 1016.41);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('MQJPNZ', 9, 'drug', 'Work budget music politics behind.', 1644.32);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('E9KNQU', 12, 'green', 'Economic along entire should spend Mrs.', 1469.98);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('IXYIBX', 38, 'instead', 'Them occur car commercial civil.', 1242.06);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('4UNUA1', 23, 'parent', 'Clear soon rate out evidence daughter along seven.', 1857.46);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('VHCXP6', 15, 'art', 'Once base cause trade water I ground.', 1978.54);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('1F4L5I', 40, 'begin', 'Modern visit firm huge power.', 1892.95);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('F4PETN', 37, 'main', 'Director develop world skin join tax.', 807.39);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('A7Q2ZM', 24, 'base', 'The Democrat move recently southern store.', 1447.18);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('KUYXZ9', 33, 'adult', 'She story final must project.', 1513.03);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('V7TPJ0', 45, 'modern', 'Sit will hit speech democratic.', 964.45);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('MMRI3I', 55, 'up', 'We while peace condition article back.', 489.05);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('T22OY3', 17, 'family', 'Lawyer environmental Democrat modern pass ability these.', 1955.78);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('WZIIP4', 18, 'save', 'Budget face soon form billion letter.', 646.28);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('N1KQUM', 45, 'grow', 'Something just instead interview.', 1756.4);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('ZJGOIK', 30, 'large', 'Education last unit provide dark her.', 1968.12);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('4NQVXY', 54, 'moment', 'Morning few kitchen stage white there.', 478.64);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('5DS55N', 42, 'three', 'Recognize study when choose me into open call.', 1524.8);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('2PX2F7', 8, 'see', 'Off by sit end under tonight.', 1843.51);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('IHP4ZR', 42, 'easy', 'Pull if civil entire under.', 354.63);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('5MRCD8', 19, 'eight', 'Theory international toward two laugh stage.', 1814.25);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('F9FIOG', 6, 'all', 'Charge prevent because.', 205.75);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('3C52J8', 31, 'shoulder', 'Member top reach imagine.', 1869.57);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('IUH69I', 45, 'forward', 'Wall could themselves near catch must.', 86.7);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('6HBLB4', 9, 'action', 'Democratic boy staff reach nearly moment wife picture.', 539.38);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('EUU433', 53, 'same', 'Finally have newspaper above nation bad.', 606.19);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('23LLUE', 38, 'sit', 'We kitchen hotel kid room.', 185.95);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('VW3TRY', 52, 'international', 'Force scientist prepare participant always picture huge remember.', 1552.36);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('T93XWZ', 36, 'thousand', 'Attention upon through give.', 1736.83);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('C8T0PE', 19, 'employee', 'Health ball its development seek.', 1808.99);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('74LU4J', 28, 'on', 'Follow green push power check whose effect.', 742.95);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('GL4R53', 20, 'production', 'Choose hand region.', 1503.78);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('FLATZ2', 9, 'also', 'Space situation because remain customer every.', 1001.8);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('U2YJ8V', 45, 'police', 'Couple effect owner.', 113.58);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('5ZGUWD', 30, 'sit', 'Lead to keep compare.', 1003.32);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('4K9NKY', 30, 'boy', 'Eat station kind PM majority point suddenly.', 246.64);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('OPNH9O', 39, 'less', 'Financial stop very instead out.', 1781.72);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('TA9C3D', 18, 'happen', 'Sister single his nor art possible Mr.', 1230.19);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('G32PMN', 49, 'together', 'Activity value challenge brother money either.', 454.05);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('RTDHJJ', 55, 'increase', 'Generation film thing away soldier.', 1832.24);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('NSNWBI', 14, 'natural', 'Skill south return protect ago particular coach.', 427.97);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('HXXVMP', 17, 'appear', 'Explain since arrive participant really later tonight.', 828.94);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('KY9DMJ', 55, 'blood', 'Yeah beat pretty edge hand just.', 91.76);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('1QPC61', 42, 'interesting', 'Cold us budget realize memory night stuff.', 406.59);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('6UD40T', 2, 'able', 'Enter drug moment how hotel early later.', 93.94);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('TMKDQU', 37, 'set', 'With student week about type music.', 948.58);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('8FMA4Z', 18, 'perhaps', 'Well play bad.', 1637.58);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('FY2PO7', 23, 'somebody', 'Sense need item truth through.', 524.11);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('4E2O32', 10, 'thus', 'Part pass inside tend network sport experience become.', 1786.8);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('NEQ3V8', 34, 'treat', 'Likely sort moment.', 1301.59);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('8C0SLM', 2, 'baby', 'Happy thousand moment speech.', 157.35);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('XPU1OQ', 54, 'could', 'Tree state history.', 973.49);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('99X3RJ', 38, 'others', 'Field itself himself few family.', 355.0);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('PNT2FH', 18, 'any', 'Morning contain personal officer off also.', 69.98);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('8Z7KCD', 1, 'picture', 'Would sing car ago.', 1241.1);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('CCAAVP', 43, 'claim', 'Arrive process interview manager behind goal trouble choose.', 1607.63);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('S0OR2H', 8, 'standard', 'While office seem.', 273.75);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('OI05Q5', 54, 'forward', 'Score major floor recent get.', 156.55);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('0CTG5I', 7, 'perform', 'Fill report reveal national store sing.', 442.49);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('R9CYEI', 4, 'like', 'Radio quickly project travel become west.', 160.53);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('S6CVFM', 20, 'another', 'Image official hear west western young.', 1431.95);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('U44KM3', 19, 'enter', 'Professor class laugh former both direction interview.', 646.92);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('XH1TP4', 1, 'write', 'Serve and final relate role describe.', 1979.86);
